control_id,ri_id
CTL-023,RI-0136
CTL-023,RI-0137
CTL-023,RI-0145
CTL-023,RI-0150
CTL-023,RI-0161
CTL-023,RI-0171
CTL-023,RI-0183
CTL-023,RI-0189
CTL-023,RI-0192
CTL-023,RI-0200
CTL-023,RI-0219
CTL-023,RI-0253
CTL-023,RI-0272
CTL-023,RI-0276
CTL-023,RI-0280
CTL-023,RI-0286
CTL-023,RI-0303
CTL-023,RI-0306
CTL-024,RI-0003
CTL-024,RI-0032
CTL-024,RI-0039
CTL-024,RI-0040
CTL-024,RI-0072
CTL-024,RI-0109
CTL-024,RI-0169
CTL-024,RI-0192
CTL-024,RI-0211
CTL-024,RI-0218
CTL-024,RI-0295
CTL-026,RI-0002
CTL-026,RI-0023
CTL-026,RI-0027
CTL-026,RI-0040
CTL-026,RI-0043
CTL-026,RI-0056
CTL-026,RI-0077
CTL-026,RI-0093
CTL-026,RI-0101
CTL-026,RI-0108
CTL-026,RI-0115
CTL-026,RI-0116
CTL-026,RI-0125
CTL-026,RI-0128
CTL-026,RI-0175
CTL-026,RI-0179
CTL-026,RI-0239
CTL-026,RI-0305
CTL-026,RI-0307
CTL-027,RI-0004
CTL-027,RI-0026
CTL-027,RI-0027
CTL-027,RI-0046
CTL-027,RI-0052
CTL-027,RI-0055
CTL-027,RI-0109
CTL-027,RI-0115
CTL-027,RI-0130
CTL-027,RI-0138
CTL-027,RI-0157
CTL-027,RI-0213
CTL-027,RI-0214
CTL-027,RI-0220
CTL-027,RI-0225
CTL-027,RI-0274
CTL-027,RI-0278
CTL-027,RI-0279
CTL-027,RI-0299
CTL-028,RI-0004
CTL-028,RI-0005
CTL-028,RI-0017
CTL-028,RI-0020
CTL-028,RI-0049
CTL-028,RI-0089
CTL-028,RI-0105
CTL-028,RI-0125
CTL-028,RI-0128
CTL-028,RI-0137
CTL-028,RI-0143
CTL-028,RI-0144
CTL-028,RI-0145
CTL-028,RI-0147
CTL-028,RI-0171
CTL-028,RI-0173
CTL-028,RI-0174
CTL-028,RI-0194
CTL-028,RI-0196
CTL-028,RI-0197
CTL-028,RI-0200
CTL-028,RI-0206
CTL-028,RI-0211
CTL-028,RI-0234
CTL-028,RI-0256
CTL-028,RI-0261
CTL-028,RI-0273
CTL-028,RI-0279
CTL-028,RI-0280
CTL-028,RI-0286
CTL-028,RI-0307
CTL-029,RI-0012
CTL-029,RI-0027
CTL-029,RI-0034
CTL-029,RI-0038
CTL-029,RI-0056
CTL-029,RI-0070
CTL-029,RI-0081
CTL-029,RI-0138
CTL-029,RI-0144
CTL-029,RI-0145
CTL-029,RI-0146
CTL-029,RI-0149
CTL-029,RI-0152
CTL-029,RI-0171
CTL-029,RI-0183
CTL-029,RI-0187
CTL-029,RI-0197
CTL-029,RI-0200
CTL-029,RI-0206
CTL-029,RI-0238
CTL-029,RI-0244
CTL-029,RI-0250
CTL-029,RI-0253
CTL-029,RI-0259
CTL-029,RI-0263
CTL-029,RI-0264
CTL-029,RI-0279
CTL-029,RI-0284
CTL-029,RI-0286
CTL-029,RI-0295
CTL-029,RI-0296
CTL-030,RI-0006
CTL-030,RI-0045
CTL-030,RI-0054
CTL-030,RI-0083
CTL-030,RI-0089
CTL-030,RI-0115
CTL-030,RI-0126
CTL-030,RI-0179
CTL-030,RI-0191
CTL-030,RI-0192
CTL-030,RI-0214
CTL-030,RI-0253
CTL-030,RI-0268
CTL-030,RI-0273
CTL-030,RI-0305
CTL-030,RI-0308
